ID,Year_Birth,Education,Marital_Status,Income,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,AcceptedCmp6,Age,Age_Category,Income_Category,Total_Children,Total_Amount,Length,Frequency,Monetary,lrfm_score_total,lrfm_segment,DominantChannel
5524,1957,Graduate,Single,58138.0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,0,0,0,0,0,1,55,Senior,Medium,0,1617,760,22,1617,18,Diamond,NumCatalogPurchases
2174,1954,Graduate,Single,46344.0,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,0,0,0,0,0,0,60,Senior,Medium,2,27,210,4,27,7,Bronze,NumStorePurchases
4141,1965,Graduate,Coupled,71613.0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,0,0,0,0,0,0,48,Adult,High,0,776,409,20,776,15,Platinum,NumStorePurchases
6182,1984,Graduate,Coupled,26646.0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,0,0,0,0,0,0,30,Young,Low,1,53,236,6,53,8,Silver,NumStorePurchases
5324,1981,Graduate,Coupled,58293.0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,0,0,0,0,0,0,33,Young,Medium,1,422,258,14,422,9,Silver,NumStorePurchases
7446,1967,Graduate,Coupled,62513.0,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,0,0,0,0,0,0,46,Adult,Medium,1,716,390,20,716,16,Platinum,NumStorePurchases
965,1971,Graduate,Single,55635.0,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,0,0,0,0,0,0,41,Adult,Medium,1,590,690,17,590,16,Platinum,NumWebPurchases
6177,1985,Graduate,Coupled,33454.0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,0,0,0,0,0,0,28,Young,Low,1,169,514,8,169,11,Silver,NumWebPurchases
4855,1974,Graduate,Coupled,30351.0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,0,0,0,0,0,1,39,Adult,Low,1,46,485,5,46,10,Silver,NumWebPurchases
5899,1950,Graduate,Coupled,5648.0,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,1,0,0,0,0,0,64,Senior,Low,2,49,205,1,49,5,Bronze,NumWebPurchases
387,1976,Non-Graduate,Coupled,7500.0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,0,0,0,0,0,0,36,Young,Low,0,61,690,5,61,10,Silver,NumStorePurchases
2125,1959,Graduate,Single,63033.0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,0,0,0,0,0,0,54,Adult,Medium,0,1102,323,15,1102,10,Silver,NumStorePurchases
8180,1952,Graduate,Single,59354.0,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,0,0,0,0,0,0,61,Senior,Medium,2,310,323,12,310,11,Silver,NumWebPurchases
2569,1987,Graduate,Coupled,17323.0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,0,0,0,0,0,0,25,Young,Low,0,46,724,4,46,11,Silver,NumStorePurchases
